Name,Tags,Length,VR,Altitude,Link
Test Cave [1],"Cave, SSSI",112.0,22.0,123.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=1
Deer Hill Cave,"Cave, Rising",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=2
Allt Aoinidh (Pol),"Cave, Sink",,,260.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=3
Eighe (Pol) [eyehole],"Cave, Sink, SSSI",6.5,3.0,220.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=4
Eighe (Pol),"Cave, Sink",35.0,5.0,210.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=5
Eighe (Pol) [Upper],"Cave, Rising",12.5,3.0,205.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=6
Marchburn Cave [1],"Cave, SeaCave",6.0,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=7
Aonan na Mala Natural Arch [2] (N).,"Cave, Rising, Arch",10.0,,20.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=8
Barlocco Cave [1],"Cave, SeaCave",,,0.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=9
Barlocco Cave [2],"Cave, SeaCave",,,0.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=10
Barlocco Cave [3],"Cave, SeaCave",,10.0,0.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=11
Lossit [1],"Cave, SeaCave",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=12
Brolainne (Uamh na),"Cave, SeaCave",,,0.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=13
Kilchoman [1],"Cave, Archaeo",6.0,,70.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=14
Ardnave [1],"Cave, Archaeo",,,0.0,http://registry.gsg.org.uk/sr/sitedetails.php?id=15
Bealach an t-Siucair [Find Spot],Archaeo,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=16
Lagggan [1],Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=17
Cnoc Ebric [Find Spot],Archaeo,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=18
Chotain (Port a') [1],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=19
Rhuba Bholsa [1],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=20
Doodilbeg [1],Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=21
Doodilbeg [2],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=22
Aonan an Eorna [1],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=23
Aonan an Eorna [2],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=24
Aonan an Eorna [3],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=25
Port Domhnaill Cruinn [1],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=26
Donna (Uamhannan) [1],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=27
Donna (Uamhannan) [2],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=28
Donna (Uamhannan) [3],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=29
Biod nan Sgarbh [1],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=30
Biod nan Sgarbh [2],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=31
Chotain (Port a') [2],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=32
Biod nan Sgarbh [3],Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=33
Biod nan Sgarbh [4],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=34
Braigh a' Gheodh (Uamh),Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=35
Biod nan Sgarbh [5],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=36
Biod nan Sgarbh [6],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=37
Biod nan Sgarbh [7],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=38
Biod nan Sgarbh [8],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=39
Sgairail [1],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=40
Donna (Uamhannan) [4],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=41
Donna (Uamhannan) [6],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=42
Donna (Uamhannan) [5],Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=43
Port Domhnaill Cruinn [3],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=44
Port Domhnaill Cruinn [4],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=45
Aonan an Eorna [8],"Cave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=46
Doodilbeg [13],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=47
Doodilbeg [14],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=48
Doodilbeg [3],"Cave, SeaCave, Archaeo",,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=49
Doodilbeg [4],Cave,,,,http://registry.gsg.org.uk/sr/sitedetails.php?id=50
